property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,170,202833.42,-38.405651,-38.405651,Bahia
apartment,Northeast,67,215647.81,-38.3576186,-38.3576186,Bahia
apartment,Northeast,185,138862.88,-38.52309,-38.52309,Bahia
apartment,Northeast,56,81133.37,-38.532276,-38.532276,Bahia
apartment,Northeast,95,109217.99,-38.532276,-38.532276,Bahia
apartment,Northeast,120,112338.51,-38.481049,-38.481049,Bahia
apartment,Northeast,110,112338.51,-38.456074,-38.456074,Bahia
apartment,Northeast,110,118579.54,-38.456074,-38.456074,Bahia
apartment,Northeast,114,241839.85,-38.516796,-38.516796,Bahia
apartment,Northeast,98,155713.66,-38.516796,-38.516796,Bahia
apartment,Northeast,83,134119.7,-38.45739,-38.45739,Bahia
apartment,Northeast,102,190507.39,-38.49474,-38.49474,Bahia
apartment,Northeast,63,196592.39,-38.5047,-38.5047,Bahia
apartment,Northeast,80,99856.45,-38.45739,-38.45739,Bahia
apartment,Northeast,120,84253.88,-38.444553,-38.444553,Bahia
apartment,Northeast,115,115459.02,-38.444553,-38.444553,Bahia
apartment,Northeast,80,107657.74,-38.45739,-38.45739,Bahia
apartment,Northeast,80,92991.32,-38.496819,-38.496819,Bahia
apartment,Northeast,70,87374.39,-38.496819,-38.496819,Bahia
apartment,Northeast,143,202833.42,-38.519516,-38.519516,Bahia
house,Northeast,140,106097.48,-38.318233,-38.318233,Bahia
house,Northeast,197,148224.42,-38.40873,-38.40873,Bahia
apartment,Northeast,114,152905.19,-38.465279,-38.465279,Bahia
apartment,Northeast,95,101416.71,-38.498463,-38.498463,Bahia
apartment,Northeast,90,109217.99,-38.48336,-38.48336,Bahia
apartment,Northeast,152,327653.99,-38.489021,-38.489021,Bahia
house,Northeast,66,171628.28,-38.684437,-38.684437,Bahia
apartment,Northeast,244,187230.85,-38.43898,-38.43898,Bahia
apartment,Northeast,206,374461.71,-38.532276,-38.532276,Bahia
apartment,Northeast,195,243400.11,-38.519222,-38.519222,Bahia
house,Northeast,110,93615.42,-38.32711,-38.32711,Bahia
apartment,Northeast,151,143543.65,-38.465279,-38.465279,Bahia
apartment,Northeast,125,90463.7,-38.490906,-38.490906,Bahia
apartment,Northeast,70,74892.34,-38.45739,-38.45739,Bahia
apartment,Northeast,184,374461.71,-38.526047,-38.526047,Bahia
apartment,Northeast,106,118579.54,-38.486305,-38.486305,Bahia
apartment,Northeast,92,82693.62,-38.48336,-38.48336,Bahia
apartment,Northeast,115,177869.31,-38.5047,-38.5047,Bahia
apartment,Northeast,78,96735.94,-38.485542,-38.485542,Bahia
apartment,Northeast,115,115459.02,-38.444553,-38.444553,Bahia
apartment,Northeast,71,84253.88,-38.444553,-38.444553,Bahia
apartment,Northeast,59,113898.77,-38.444553,-38.444553,Bahia
apartment,Northeast,142,115146.97,-38.444553,-38.444553,Bahia
apartment,Northeast,82,81133.37,-38.444553,-38.444553,Bahia
house,Northeast,250,374461.71,-38.465279,-38.465279,Bahia
apartment,Northeast,95,187230.85,-38.465279,-38.465279,Bahia
apartment,Northeast,90,184110.34,-38.516327,-38.516327,Bahia
apartment,Northeast,215,374461.71,-38.519222,-38.519222,Bahia
apartment,Northeast,54,92679.27,-38.470348,-38.470348,Bahia
apartment,Northeast,78,134182.11,-38.469273,-38.469273,Bahia
apartment,Northeast,186,411471.01,-38.486431,-38.486431,Bahia
apartment,Northeast,220,343256.56,-38.486305,-38.486305,Bahia
apartment,Northeast,203,265243.71,-38.45739,-38.45739,Bahia
apartment,Northeast,114,202833.42,-38.45739,-38.45739,Bahia
apartment,Northeast,180,265243.71,-38.45739,-38.45739,Bahia
apartment,Northeast,235,165387.25,-38.45739,-38.45739,Bahia
apartment,Northeast,155,310491.16,-38.45739,-38.45739,Bahia
apartment,Northeast,155,296448.85,-38.45739,-38.45739,Bahia
apartment,Northeast,195,452474.56,-38.456074,-38.456074,Bahia
apartment,Northeast,127,180989.82,-38.456074,-38.456074,Bahia
apartment,Northeast,128,152905.19,-38.456074,-38.456074,Bahia
apartment,Northeast,186,234038.56,-38.456074,-38.456074,Bahia
apartment,Northeast,212,415028.39,-38.391624,-38.391624,Bahia
apartment,Northeast,98,227797.54,-38.5047,-38.5047,Bahia
apartment,Northeast,55,140423.14,-38.5047,-38.5047,Bahia
apartment,Northeast,168,312051.42,-38.526047,-38.526047,Bahia
apartment,Northeast,180,277725.76,-38.417938,-38.417938,Bahia
apartment,Northeast,75,85703.4,-38.424129,-38.424129,Bahia
apartment,Northeast,116,208450.35,-38.392464,-38.392464,Bahia
apartment,Northeast,143,253385.75,-38.392464,-38.392464,Bahia
apartment,Northeast,210,327653.99,-38.405239,-38.405239,Bahia
apartment,Northeast,139,234038.56,-38.405239,-38.405239,Bahia
apartment,Northeast,75,131061.59,-38.443928,-38.443928,Bahia
apartment,Northeast,128,234038.56,-38.439594,-38.439594,Bahia
apartment,Northeast,59,145790.42,-38.43898,-38.43898,Bahia
apartment,Northeast,70,126880.1,-38.441444,-38.441444,Bahia
apartment,Northeast,90,131061.59,-38.528343,-38.528343,Bahia
apartment,Northeast,170,202833.42,-38.526047,-38.526047,Bahia
apartment,Northeast,230,405666.85,-38.526047,-38.526047,Bahia
apartment,Northeast,100,227797.54,-38.52298,-38.52298,Bahia
apartment,Northeast,185,212194.96,-38.521461,-38.521461,Bahia
apartment,Northeast,67,131061.59,-38.499725,-38.499725,Bahia
apartment,Northeast,103,186669.16,-38.52309,-38.52309,Bahia
apartment,Northeast,122,249641.14,-38.52309,-38.52309,Bahia
apartment,Northeast,230,296448.85,-38.52309,-38.52309,Bahia
apartment,Northeast,166,187230.85,-38.52309,-38.52309,Bahia
apartment,Northeast,102,265243.71,-38.52309,-38.52309,Bahia
